"repository","url","category","priority","audit_level","size_kb","default_branch","archived","updated_at","description","recommended_action"
"PopClip-Extensions","https://github.com/AvaTar-ArTs/PopClip-Extensions","automation-platform","P2","profile","94462","master","false","","","Decide retain/archive/extract and document inputs/outputs"
"popclipweb","https://github.com/AvaTar-ArTs/popclipweb","automation-platform","P2","profile","24372","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"freeCodeCamp","https://github.com/AvaTar-ArTs/freeCodeCamp","reference-upstream","P2","profile","539767","main","false","","","Mark upstream/reference and preserve attribution"
"obsidian-image-upload-toolkit","https://github.com/AvaTar-ArTs/obsidian-image-upload-toolkit","automation-platform","P2","profile","105","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"gemini-cli-git","https://github.com/AvaTar-ArTs/gemini-cli-git","agent-ai","P3","profile","10","main","false","","","Classify runtime/reference/experiment and document boundary"
"v0","https://github.com/AvaTar-ArTs/v0","reference-upstream","P2","profile","109","main","false","","","Mark upstream/reference and preserve attribution"
"git-ai","https://github.com/AvaTar-ArTs/git-ai","agent-ai","P2","profile","16219","main","false","","","Classify runtime/reference/experiment and document boundary"
"xEo-Empire","https://github.com/AvaTar-ArTs/xEo-Empire","creator-ip","P1","profile","32","main","false","","","Add README, status, rights/provenance, and next deliverable"
"xEo-jobs","https://github.com/AvaTar-ArTs/xEo-jobs","business-commerce","P3","profile","24","claude/seo-analytics-showcase-9BjJh","false","","","Document audience, deployment, product, and revenue role"
"daTabase","https://github.com/AvaTar-ArTs/daTabase","automation-platform","P3","profile","0","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"xEo-Docs","https://github.com/AvaTar-ArTs/xEo-Docs","creator-ip","P3","profile","0","main","false","","","Add README, status, rights/provenance, and next deliverable"
"PasTe-Export","https://github.com/AvaTar-ArTs/PasTe-Export","automation-platform","P2","profile","275","master","false","","","Decide retain/archive/extract and document inputs/outputs"
"nocTurneMeLoDieS-next","https://github.com/AvaTar-ArTs/nocTurneMeLoDieS-next","creator-ip","P2","profile","82","main","false","","","Add README, status, rights/provenance, and next deliverable"
"nocTurneMeLoDieS-website","https://github.com/AvaTar-ArTs/nocTurneMeLoDieS-website","creator-ip","P2","profile","57","main","false","","","Add README, status, rights/provenance, and next deliverable"
"all","https://github.com/AvaTar-ArTs/all","automation-platform","P3","profile","0","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"nocTurneMeLoDieS","https://github.com/AvaTar-ArTs/nocTurneMeLoDieS","creator-ip","P1","deep","327168","main","false","","","Add README, status, rights/provenance, and next deliverable"
"ai-command-hub","https://github.com/AvaTar-ArTs/ai-command-hub","agent-ai","P2","profile","436","main","false","","","Classify runtime/reference/experiment and document boundary"
"AVATARARTS_WEBSITE","https://github.com/AvaTar-ArTs/AVATARARTS_WEBSITE","creator-ip","P1","profile","48","main","false","","","Add README, status, rights/provenance, and next deliverable"
"gumroad","https://github.com/AvaTar-ArTs/gumroad","business-commerce","P2","profile","219217","main","false","","","Document audience, deployment, product, and revenue role"
"xEo","https://github.com/AvaTar-ArTs/xEo","creator-ip","P2","profile","297","main","false","","","Add README, status, rights/provenance, and next deliverable"
"MarketMaster","https://github.com/AvaTar-ArTs/MarketMaster","business-commerce","P3","profile","0","main","false","","","Document audience, deployment, product, and revenue role"
"Ai-Merge-GitHub","https://github.com/AvaTar-ArTs/Ai-Merge-GitHub","agent-ai","P2","profile","59","main","false","","","Classify runtime/reference/experiment and document boundary"
"grok-history","https://github.com/AvaTar-ArTs/grok-history","agent-ai","P3","profile","0","main","false","","","Classify runtime/reference/experiment and document boundary"
"mermaid-live-editor","https://github.com/AvaTar-ArTs/mermaid-live-editor","automation-platform","P2","profile","142492","develop","false","","","Decide retain/archive/extract and document inputs/outputs"
"ice-tracker","https://github.com/AvaTar-ArTs/ice-tracker","automation-platform","P2","profile","478","master","false","","","Decide retain/archive/extract and document inputs/outputs"
"epstien-ai","https://github.com/AvaTar-ArTs/epstien-ai","unclassified","P3","profile","0","main","false","","","Triage for archive, consolidation, or README-only status"
"cursor","https://github.com/AvaTar-ArTs/cursor","agent-ai","P3","profile","0","main","false","","","Classify runtime/reference/experiment and document boundary"
"Ai-Code-Hub","https://github.com/AvaTar-ArTs/Ai-Code-Hub","agent-ai","P3","profile","0","main","false","","","Classify runtime/reference/experiment and document boundary"
"ghostty","https://github.com/AvaTar-ArTs/ghostty","automation-platform","P2","profile","62856","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"PYTHON_MARKETPLACE_MASTER","https://github.com/AvaTar-ArTs/PYTHON_MARKETPLACE_MASTER","business-commerce","P2","profile","73792","main","false","","","Document audience, deployment, product, and revenue role"
"userscripts","https://github.com/AvaTar-ArTs/userscripts","automation-platform","P2","profile","1645","master","false","","","Decide retain/archive/extract and document inputs/outputs"
"greptile","https://github.com/AvaTar-ArTs/greptile","unclassified","P3","profile","0","main","false","","","Triage for archive, consolidation, or README-only status"
"diVinePyTHon","https://github.com/AvaTar-ArTs/diVinePyTHon","business-commerce","P3","profile","0","main","false","","","Document audience, deployment, product, and revenue role"
"omniauth-gumroad","https://github.com/AvaTar-ArTs/omniauth-gumroad","business-commerce","P3","profile","20","master","false","","","Document audience, deployment, product, and revenue role"
"EasyGrid","https://github.com/AvaTar-ArTs/EasyGrid","automation-platform","P2","profile","1080","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"NotebookLM","https://github.com/AvaTar-ArTs/NotebookLM","agent-ai","P3","profile","0","main","false","","","Classify runtime/reference/experiment and document boundary"
"AvaTarArTs.org","https://github.com/AvaTar-ArTs/AvaTarArTs.org","creator-ip","P1","profile","20","main","false","","","Add README, status, rights/provenance, and next deliverable"
"Sora_Water","https://github.com/AvaTar-ArTs/Sora_Water","creator-ip","P3","profile","2","main","false","","","Add README, status, rights/provenance, and next deliverable"
"AutoTagger","https://github.com/AvaTar-ArTs/AutoTagger","automation-platform","P2","profile","3800","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"n8n_workflows","https://github.com/AvaTar-ArTs/n8n_workflows","automation-platform","P2","profile","59","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"PYTHON_MARKET","https://github.com/AvaTar-ArTs/PYTHON_MARKET","business-commerce","P2","profile","62662","main","false","","","Document audience, deployment, product, and revenue role"
"pythons","https://github.com/AvaTar-ArTs/pythons","business-commerce","P2","profile","126003","main","false","","","Document audience, deployment, product, and revenue role"
"my-supremepowers","https://github.com/AvaTar-ArTs/my-supremepowers","agent-ai","P0","deep","5726","main","false","","","Extract governance and orchestration patterns"
"my-codex","https://github.com/AvaTar-ArTs/my-codex","agent-ai","P2","profile","2452","main","false","","","Classify runtime/reference/experiment and document boundary"
"my-cline","https://github.com/AvaTar-ArTs/my-cline","agent-ai","P2","profile","69","main","false","","","Classify runtime/reference/experiment and document boundary"
"superpowers-evolved","https://github.com/AvaTar-ArTs/superpowers-evolved","agent-ai","P3","profile","19","main","false","","","Classify runtime/reference/experiment and document boundary"
"alchemy","https://github.com/AvaTar-ArTs/alchemy","automation-platform","P3","profile","0","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"notebooklm-mine","https://github.com/AvaTar-ArTs/notebooklm-mine","agent-ai","P2","profile","276521","main","false","","","Classify runtime/reference/experiment and document boundary"
"compose-hot-reload","https://github.com/AvaTar-ArTs/compose-hot-reload","automation-platform","P2","profile","10120","master","false","","","Decide retain/archive/extract and document inputs/outputs"
"obsidian-terminal","https://github.com/AvaTar-ArTs/obsidian-terminal","automation-platform","P2","profile","6856","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"discord-music-presence","https://github.com/AvaTar-ArTs/discord-music-presence","automation-platform","P2","profile","22753","master","false","","","Decide retain/archive/extract and document inputs/outputs"
"terminal-workflows","https://github.com/AvaTar-ArTs/terminal-workflows","automation-platform","P3","profile","0","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"my-devon","https://github.com/AvaTar-ArTs/my-devon","unclassified","P3","profile","0","main","false","","","Triage for archive, consolidation, or README-only status"
"my-manus","https://github.com/AvaTar-ArTs/my-manus","unclassified","P3","profile","0","main","false","","","Triage for archive, consolidation, or README-only status"
"Suno-Extractor-Empire","https://github.com/AvaTar-ArTs/Suno-Extractor-Empire","business-commerce","P3","profile","21","master","false","","","Document audience, deployment, product, and revenue role"
"scripts","https://github.com/AvaTar-ArTs/scripts","automation-platform","P2","profile","4564","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"Ai-Chat-Exporter","https://github.com/AvaTar-ArTs/Ai-Chat-Exporter","agent-ai","P3","profile","0","main","false","","","Classify runtime/reference/experiment and document boundary"
"choTaku","https://github.com/AvaTar-ArTs/choTaku","creator-ip","P0","deep","2073","main","false","","","Stabilize semantic storyworld and production contracts"
"pyllelic","https://github.com/AvaTar-ArTs/pyllelic","automation-platform","P2","profile","10605","master","false","","","Decide retain/archive/extract and document inputs/outputs"
"changelogs","https://github.com/AvaTar-ArTs/changelogs","automation-platform","P3","profile","1","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"ESO","https://github.com/AvaTar-ArTs/ESO","creator-ip","P1","profile","11","main","false","","","Add README, status, rights/provenance, and next deliverable"
"ESO-Build-Alley","https://github.com/AvaTar-ArTs/ESO-Build-Alley","creator-ip","P3","profile","0","main","false","","","Add README, status, rights/provenance, and next deliverable"
"open-design","https://github.com/AvaTar-ArTs/open-design","creator-ip","P1","deep","1502442","main","false","","","Add README, status, rights/provenance, and next deliverable"
"html-anything","https://github.com/AvaTar-ArTs/html-anything","automation-platform","P2","profile","15027","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"openai-cookbook","https://github.com/AvaTar-ArTs/openai-cookbook","reference-upstream","P2","profile","929901","main","false","","","Mark upstream/reference and preserve attribution"
"trello-starter-kit-landing","https://github.com/AvaTar-ArTs/trello-starter-kit-landing","business-commerce","P3","profile","0","main","false","","","Document audience, deployment, product, and revenue role"
"claude-manager","https://github.com/AvaTar-ArTs/claude-manager","agent-ai","P2","profile","12493","main","false","","","Classify runtime/reference/experiment and document boundary"
"chozen-land","https://github.com/AvaTar-ArTs/chozen-land","creator-ip","P0","deep","19605","main","false","","","Formalize ontology-to-canon-to-narrative exports"
"adventure_guild","https://github.com/AvaTar-ArTs/adventure_guild","creator-ip","P1","profile","0","main","false","","","Add README, status, rights/provenance, and next deliverable"
"agent-skills","https://github.com/AvaTar-ArTs/agent-skills","agent-ai","P0","deep","31353","main","false","","","Keep reusable agent workflows canonical and documented"
".qwen","https://github.com/AvaTar-ArTs/.qwen","agent-ai","P2","profile","710","main","false","","","Classify runtime/reference/experiment and document boundary"
".Agent-skills","https://github.com/AvaTar-ArTs/.Agent-skills","agent-ai","P1","deep","29403","main","false","","","Keep reusable agent workflows canonical and documented"
"ai-image-video-model-specs","https://github.com/AvaTar-ArTs/ai-image-video-model-specs","agent-ai","P1","profile","21","main","false","","","Classify runtime/reference/experiment and document boundary"
"lama","https://github.com/AvaTar-ArTs/lama","agent-ai","P2","profile","8938","main","false","","","Classify runtime/reference/experiment and document boundary"
"STTN","https://github.com/AvaTar-ArTs/STTN","agent-ai","P2","profile","7812","master","false","","","Classify runtime/reference/experiment and document boundary"
"ai-comic-factory","https://github.com/AvaTar-ArTs/ai-comic-factory","creator-ip","P0","deep","3666","main","false","","","Connect comic generation, layout, and QA contracts"
"creator-camp","https://github.com/AvaTar-ArTs/creator-camp","creator-ip","P0","deep","","main","false","","Creator Camp publishing and IP operations hub","Canonical public operating hub; maintain index and downstream contracts"
